------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
nick                | games | hours  | minutes  | w   | l   | w/l   | HRP/g % | most-ballcarries/g % | most-balltime/g % | most-nearball/g % | rating/m | rpm/g % | goals/m | assists/m | goals+assists/m | kills/m | teamkills/m | teamkills/kills % | deaths/m | kills-deaths/m | ballkills/m | balldeaths/m | steals/m | turnovers/m | steals-turnovers/m | saves/m | spawns/m | ballcarries/m
------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
nick                | games | hours  | minutes  | w   | l   | w/l   | HRP/g % | most-ballcarries/g % | most-balltime/g % | most-nearball/g % | rating/m | rpm/g % | goals/m | assists/m | goals+assists/m | kills/m | teamkills/m | teamkills/kills % | deaths/m | kills-deaths/m | ballkills/m | balldeaths/m | steals/m | turnovers/m | steals-turnovers/m | saves/m | spawns/m | ballcarries/m
------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
a mirror            |   113 | 24.727 |   1483.6 |  67 |  46 | 1.457 |   17.7% |                19.5% |             15.9% |              9.7% |    6.339 |    6.66 |   0.104 |     0.088 |           0.192 |   1.262 |       0.075 |              5.9% |     1.37 |         -0.108 |       0.189 |        0.145 |     0.28 |        0.28 |                0.0 |   0.078 |     0.08 |         1.473
afri                |   202 | 44.115 |   2646.9 | 126 |  76 | 1.658 |   36.6% |                47.5% |             32.7% |             36.6% |      7.4 |   7.803 |   0.145 |     0.105 |            0.25 |   1.232 |       0.062 |              5.0% |    1.447 |         -0.215 |       0.196 |        0.156 |    0.339 |       0.318 |               0.02 |   0.051 |    0.114 |         1.894
ccruler             |   373 | 82.965 | 4977.917 | 160 | 213 | 0.751 |    2.9% |                 5.6% |              1.9% |              7.2% |    5.524 |    5.85 |   0.059 |     0.074 |           0.134 |   1.116 |       0.028 |              2.5% |     1.21 |         -0.094 |        0.14 |         0.16 |    0.205 |       0.216 |             -0.011 |   0.102 |    0.089 |         1.222
cyclone             |    74 | 13.846 |   830.75 |  28 |  46 | 0.609 |    0.0% |                 1.4% |              0.0% |              0.0% |    2.755 |   2.999 |   0.034 |      0.04 |           0.073 |   0.693 |       0.042 |              6.1% |    0.784 |          -0.09 |       0.076 |        0.118 |    0.113 |       0.143 |              -0.03 |   0.014 |    0.067 |         0.683
furzkanon           |   101 | 22.817 | 1369.033 |  44 |  57 | 0.772 |    4.0% |                 4.0% |              5.0% |              6.9% |    5.436 |   5.561 |   0.061 |     0.068 |           0.129 |   0.981 |       0.037 |              3.7% |    1.057 |         -0.076 |        0.12 |        0.178 |    0.235 |       0.225 |               0.01 |   0.059 |    0.053 |         1.259
gigamonster         |   106 | 23.526 | 1411.583 |  59 |  47 | 1.255 |   11.3% |                 5.7% |              1.9% |             18.9% |     6.87 |   6.791 |   0.049 |     0.093 |           0.142 |   1.355 |        0.07 |              5.2% |    1.065 |           0.29 |       0.159 |        0.083 |    0.306 |       0.164 |              0.142 |   0.045 |    0.066 |         1.461
gunishment          |    50 | 11.819 |  709.133 |  31 |  19 | 1.632 |   28.0% |                38.0% |             46.0% |             34.0% |    6.384 |   7.116 |   0.111 |     0.104 |           0.216 |   1.013 |       0.059 |              5.8% |     1.13 |         -0.117 |       0.162 |        0.173 |      0.3 |        0.29 |               0.01 |   0.054 |    0.051 |          1.72
klawsraught         |   239 | 51.043 | 3062.567 |  83 | 156 | 0.532 |    0.4% |                 0.4% |              0.0% |              0.4% |    4.233 |   4.374 |   0.026 |     0.063 |           0.089 |   1.154 |       0.059 |              5.1% |    1.418 |         -0.264 |       0.136 |        0.063 |    0.223 |       0.214 |              0.009 |   0.039 |     0.07 |         1.033
legacy              |    90 | 18.995 | 1139.683 |  41 |  49 | 0.837 |   13.3% |                18.9% |             11.1% |             15.6% |    6.239 |   6.541 |   0.111 |     0.089 |             0.2 |   1.416 |         0.1 |              7.1% |    1.443 |         -0.027 |       0.151 |        0.179 |    0.271 |       0.292 |             -0.021 |   0.033 |    0.057 |         1.508
lemonaire           |    58 | 13.606 |   816.35 |  33 |  25 |  1.32 |   20.7% |                15.5% |             15.5% |             12.1% |    6.676 |    7.04 |   0.071 |     0.085 |           0.156 |   1.706 |       0.126 |              7.4% |      1.1 |          0.606 |       0.179 |        0.134 |    0.218 |       0.203 |              0.015 |   0.016 |    0.091 |         1.403
mercury             |   307 |  66.62 | 3997.217 | 170 | 137 | 1.241 |   18.6% |                24.8% |             32.9% |             27.7% |    6.555 |   6.779 |   0.081 |     0.115 |           0.196 |   1.089 |        0.06 |              5.5% |    1.296 |         -0.208 |       0.159 |        0.181 |    0.403 |       0.341 |              0.062 |   0.014 |    0.073 |         1.658
nemesis             |   249 | 54.385 | 3263.083 | 106 | 143 | 0.741 |    1.6% |                 2.4% |              0.0% |              0.0% |    5.249 |   5.482 |    0.06 |     0.087 |           0.147 |   1.252 |       0.093 |              7.4% |    1.231 |          0.021 |       0.146 |        0.146 |    0.215 |       0.253 |             -0.038 |   0.036 |    0.135 |         1.307
pallone1            |   295 | 66.738 | 4004.267 | 153 | 142 | 1.077 |   15.3% |                19.0% |             13.2% |             23.1% |    6.342 |   6.687 |   0.085 |     0.099 |           0.184 |   1.248 |       0.044 |              3.5% |    1.476 |         -0.227 |       0.163 |        0.167 |     0.32 |         0.3 |               0.02 |   0.031 |    0.102 |         1.575
peabrain            |   171 | 39.051 | 2343.083 |  72 |  99 | 0.727 |    1.2% |                 1.2% |              0.6% |              0.6% |    5.051 |   5.267 |   0.052 |     0.085 |           0.137 |   1.342 |       0.092 |              6.8% |    1.305 |          0.037 |       0.163 |        0.138 |    0.227 |        0.21 |              0.018 |    0.03 |     0.03 |         1.122
pepperoni           |   402 | 87.906 | 5274.383 | 234 | 168 | 1.393 |   11.4% |                14.2% |              6.5% |              5.2% |    6.106 |   6.637 |   0.146 |     0.076 |           0.221 |   0.991 |       0.062 |              6.3% |    1.179 |         -0.188 |       0.155 |         0.21 |    0.226 |       0.298 |             -0.071 |   0.124 |    0.076 |         1.502
richardlax          |    79 | 15.876 |  952.583 |  47 |  32 | 1.469 |   11.4% |                17.7% |              3.8% |             10.1% |    6.446 |   7.003 |    0.11 |     0.103 |           0.213 |    1.37 |       0.094 |              6.9% |    1.605 |         -0.235 |       0.162 |        0.167 |    0.281 |       0.274 |              0.007 |    0.05 |    0.128 |         1.569
sawhetowl           |   113 | 25.785 |   1547.1 |  45 |  68 | 0.662 |    0.0% |                 0.0% |              0.0% |              0.0% |    3.715 |   3.827 |   0.023 |     0.049 |           0.072 |   1.392 |       0.119 |              8.5% |    1.168 |          0.224 |       0.122 |        0.093 |    0.163 |        0.18 |             -0.017 |   0.014 |    0.034 |         0.813
shikaa              |   169 | 36.877 |   2212.6 | 109 |  60 | 1.817 |   39.1% |                36.1% |             32.0% |             41.4% |    7.614 |   8.255 |   0.135 |     0.104 |            0.24 |   1.364 |       0.039 |              2.9% |     1.47 |         -0.106 |       0.213 |        0.217 |    0.396 |       0.348 |              0.048 |   0.045 |    0.115 |         1.878
t1c0                |   100 | 25.963 | 1557.767 |  42 |  58 | 0.724 |   12.0% |                 9.0% |             14.0% |              6.0% |    5.987 |   6.202 |    0.08 |     0.074 |           0.154 |   1.148 |       0.073 |              6.4% |    1.184 |         -0.035 |       0.184 |        0.195 |    0.273 |       0.307 |             -0.034 |    0.03 |    0.139 |         1.495
thc                 |    91 | 21.179 | 1270.717 |  31 |  60 | 0.517 |    2.2% |                 1.1% |              1.1% |              3.3% |     4.19 |   4.647 |   0.022 |     0.057 |           0.079 |   1.035 |       0.054 |              5.2% |    1.247 |         -0.212 |       0.109 |        0.146 |    0.183 |       0.221 |             -0.039 |   0.043 |    0.042 |         1.036
the seven year itch |   178 | 39.509 | 2370.533 | 111 |  67 | 1.657 |   32.6% |                29.8% |             37.6% |             16.3% |    7.096 |   7.809 |   0.131 |     0.104 |           0.235 |   1.347 |       0.092 |              6.8% |     1.45 |         -0.103 |       0.193 |        0.184 |    0.367 |       0.337 |              0.029 |   0.044 |    0.098 |         1.663
tom petty           |   129 | 31.514 | 1890.833 |  74 |  55 | 1.345 |   22.5% |                17.8% |             20.2% |             16.3% |    6.396 |    7.01 |   0.059 |     0.102 |           0.161 |   1.346 |       0.083 |              6.1% |    1.107 |          0.239 |       0.176 |        0.144 |    0.235 |       0.277 |             -0.042 |   0.078 |    0.047 |           1.5
zwix                |    63 | 13.728 |  823.667 |  25 |  38 | 0.658 |    3.2% |                 1.6% |              3.2% |              3.2% |    4.824 |   5.056 |   0.039 |     0.079 |           0.118 |   0.931 |       0.058 |              6.3% |    0.772 |          0.159 |       0.109 |        0.103 |    0.195 |       0.249 |             -0.053 |   0.032 |    0.036 |         1.138


------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
nick                | games | hours  | minutes  | w   | l   | w/l   | HRP/g % | most-ballcarries/g % | most-balltime/g % | most-nearball/g % | rating/m | rpm/g % | goals/m | assists/m | goals+assists/m | kills/m | teamkills/m | teamkills/kills % | deaths/m | kills-deaths/m | ballkills/m | balldeaths/m | steals/m | turnovers/m | steals-turnovers/m | saves/m | spawns/m | ballcarries/m
------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
a mirror            |   199 | 46.885 |   2813.1 | 131 |  68 | 1.926 |   25.6% |                28.6% |             21.1% |             14.1% |    7.097 |   7.415 |   0.112 |     0.095 |           0.207 |   1.318 |       0.076 |              5.8% |    1.429 |          -0.11 |       0.215 |        0.156 |    0.345 |       0.303 |              0.042 |   0.074 |    0.097 |         1.677
afri                |   178 | 38.511 |  2310.65 | 109 |  69 |  1.58 |   36.5% |                48.9% |             32.6% |             45.5% |    7.553 |   8.292 |    0.15 |     0.116 |           0.266 |   1.214 |        0.05 |              4.1% |    1.504 |          -0.29 |       0.183 |        0.166 |    0.341 |       0.332 |              0.009 |    0.06 |     0.15 |         1.954
captor              |    74 | 17.328 |   1039.7 |  37 |  37 |   1.0 |   13.5% |                14.9% |             23.0% |             33.8% |    6.657 |   7.051 |   0.078 |     0.091 |           0.169 |   1.602 |       0.058 |              3.6% |    1.718 |         -0.115 |       0.217 |        0.226 |    0.372 |       0.367 |              0.005 |   0.024 |    0.068 |         1.563
ccruler             |   306 | 69.976 | 4198.567 | 139 | 167 | 0.832 |    3.9% |                 5.2% |              1.6% |              6.5% |    5.411 |   5.633 |   0.052 |     0.081 |           0.133 |    1.15 |       0.026 |              2.3% |    1.402 |         -0.252 |       0.125 |        0.188 |    0.219 |       0.233 |             -0.014 |   0.089 |     0.09 |         1.307
furzkanon           |   226 | 52.533 |   3152.0 | 109 | 117 | 0.932 |    9.3% |                 8.4% |              6.2% |             14.6% |    5.992 |   6.466 |   0.096 |     0.081 |           0.176 |   1.003 |        0.04 |              4.0% |    1.128 |         -0.126 |       0.137 |        0.188 |    0.264 |       0.252 |              0.012 |   0.075 |    0.061 |         1.415
gigamonster         |    88 | 18.618 | 1117.067 |  52 |  36 | 1.444 |   20.5% |                13.6% |              2.3% |             12.5% |    7.436 |   7.661 |   0.074 |     0.115 |            0.19 |   1.368 |       0.052 |              3.8% |    1.072 |          0.296 |       0.149 |        0.112 |    0.287 |       0.196 |              0.091 |   0.065 |    0.098 |          1.62
gunishment          |    53 | 12.562 |  753.733 |  35 |  18 | 1.944 |   47.2% |                52.8% |             64.2% |             34.0% |    7.787 |   8.332 |   0.172 |     0.097 |           0.269 |   1.024 |       0.052 |              5.1% |    1.203 |         -0.179 |       0.174 |        0.187 |    0.329 |       0.293 |              0.036 |   0.088 |    0.061 |         2.106
ibex                |    69 | 14.452 |  867.117 |  25 |  44 | 0.568 |   13.0% |                23.2% |             21.7% |              8.7% |    6.717 |   6.967 |   0.106 |      0.09 |           0.196 |   1.236 |       0.063 |              5.1% |    1.309 |         -0.073 |       0.186 |        0.188 |    0.296 |       0.307 |              -0.01 |   0.022 |    0.182 |         1.631
klawsraught         |   135 | 29.095 | 1745.683 |  45 |  90 |   0.5 |    0.7% |                 1.5% |              0.7% |              1.5% |    4.758 |   5.005 |   0.038 |     0.072 |            0.11 |   1.232 |       0.076 |              6.1% |     1.44 |         -0.207 |       0.148 |        0.088 |    0.248 |       0.238 |               0.01 |   0.038 |    0.088 |         1.174
legacy              |   172 | 38.452 | 2307.117 |  83 |  89 | 0.933 |   16.3% |                19.2% |             19.2% |             16.3% |    6.276 |   6.887 |   0.106 |     0.088 |           0.194 |    1.41 |       0.106 |              7.5% |    1.491 |         -0.082 |        0.17 |        0.197 |    0.301 |       0.336 |             -0.035 |   0.038 |    0.064 |         1.567
lemonaire           |   123 | 26.426 | 1585.583 |  61 |  62 | 0.984 |   13.8% |                11.4% |              9.8% |             11.4% |    6.851 |   7.075 |   0.066 |     0.085 |           0.151 |   1.818 |       0.125 |              6.9% |    1.157 |          0.661 |       0.148 |        0.119 |    0.235 |       0.204 |               0.03 |    0.02 |    0.108 |         1.387
mercury             |   182 | 44.668 | 2680.067 | 103 |  79 | 1.304 |   22.5% |                29.1% |             42.9% |             28.6% |    7.021 |    7.29 |   0.086 |     0.113 |           0.199 |   1.235 |       0.069 |              5.6% |    1.408 |         -0.173 |       0.196 |        0.177 |    0.421 |       0.341 |              0.079 |    0.01 |    0.087 |         1.775
nemesis             |   207 | 47.998 | 2879.867 |  85 | 122 | 0.697 |    1.4% |                 2.4% |              1.9% |              0.5% |    5.226 |   5.424 |   0.041 |     0.085 |           0.126 |    1.31 |       0.098 |              7.5% |    1.257 |          0.053 |       0.147 |        0.113 |    0.205 |       0.228 |             -0.023 |   0.044 |    0.134 |         1.289
pallone1            |   165 | 36.406 | 2184.367 |  81 |  84 | 0.964 |   18.2% |                17.0% |             13.9% |             21.2% |    6.393 |   6.713 |   0.074 |     0.096 |           0.169 |   1.302 |       0.036 |              2.7% |    1.528 |         -0.227 |       0.169 |        0.181 |    0.356 |       0.312 |              0.044 |   0.033 |    0.098 |         1.567
peabrain            |   213 | 48.937 |   2936.2 | 102 | 111 | 0.919 |    2.8% |                 5.6% |              1.4% |              1.4% |    5.215 |   5.412 |    0.06 |     0.079 |           0.139 |    1.35 |       0.097 |              7.2% |    1.357 |         -0.006 |       0.165 |        0.136 |    0.228 |       0.202 |              0.026 |   0.042 |     0.04 |         1.183
pepperoni           |   274 | 64.548 | 3872.867 | 169 | 105 |  1.61 |   16.4% |                18.2% |              9.1% |              8.8% |    6.352 |   6.971 |   0.143 |     0.074 |           0.216 |   0.993 |       0.074 |              7.5% |    1.155 |         -0.162 |       0.176 |        0.209 |    0.228 |       0.318 |             -0.091 |   0.144 |    0.065 |         1.625
richardlax          |    66 | 16.441 |  986.483 |  28 |  38 | 0.737 |   13.6% |                15.2% |              4.5% |             10.6% |    5.771 |   6.035 |   0.081 |     0.084 |           0.165 |   1.313 |       0.077 |              5.9% |    1.531 |         -0.218 |       0.161 |        0.158 |    0.237 |       0.282 |             -0.045 |   0.051 |    0.105 |         1.547
shikaa              |   132 | 29.658 |   1779.5 |  79 |  53 | 1.491 |   33.3% |                42.4% |             26.5% |             47.0% |    7.606 |   8.207 |   0.144 |     0.096 |           0.239 |   1.255 |       0.057 |              4.6% |    1.452 |         -0.197 |       0.194 |        0.219 |    0.391 |        0.35 |              0.042 |   0.065 |    0.115 |         1.915
thc                 |    92 |  21.77 | 1306.183 |  31 |  61 | 0.508 |    3.3% |                 2.2% |              4.3% |              6.5% |    5.132 |   5.118 |   0.034 |     0.081 |           0.116 |   1.071 |       0.056 |              5.2% |     1.28 |         -0.209 |       0.138 |        0.152 |    0.242 |       0.259 |             -0.017 |   0.054 |    0.048 |         1.226
