------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
nick                | games | hours  | minutes  | w   | l   | w/l   | HRP/g % | most-ballcarries/g % | most-balltime/g % | most-nearball/g % | rating/m | rpm/g % | goals/m | assists/m | goals+assists/m | kills/m | teamkills/m | teamkills/kills % | deaths/m | kills-deaths/m | ballkills/m | balldeaths/m | steals/m | turnovers/m | steals-turnovers/m | saves/m | spawns/m | ballcarries/m
------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
the seven year itch |   169 | 40.063 |  2403.75 |  90 |  79 | 1.139 |   18.3% |                18.3% |             30.8% |             14.2% |    6.551 |   7.062 |   0.112 |     0.089 |           0.202 |   1.323 |       0.089 |              6.8% |    1.417 |         -0.095 |       0.175 |        0.176 |    0.323 |       0.349 |             -0.026 |   0.052 |    0.083 |         1.602
tom petty           |   113 | 29.078 | 1744.667 |  66 |  47 | 1.404 |   18.6% |                14.2% |             16.8% |             15.9% |    6.767 |   7.055 |   0.079 |     0.088 |           0.167 |   1.367 |       0.081 |              6.0% |    1.086 |          0.281 |       0.175 |        0.148 |     0.25 |       0.307 |             -0.057 |   0.104 |    0.062 |         1.522
zwix                |    89 | 22.643 | 1358.583 |  32 |  57 | 0.561 |    4.5% |                 5.6% |              6.7% |              5.6% |    4.863 |   5.042 |   0.033 |      0.07 |           0.103 |   0.881 |       0.047 |              5.3% |    0.802 |          0.079 |       0.115 |        0.124 |     0.23 |        0.28 |             -0.051 |   0.035 |    0.059 |          1.29


------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
nick                | games | hours  | minutes  | w   | l   | w/l   | HRP/g % | most-ballcarries/g % | most-balltime/g % | most-nearball/g % | rating/m | rpm/g % | goals/m | assists/m | goals+assists/m | kills/m | teamkills/m | teamkills/kills % | deaths/m | kills-deaths/m | ballkills/m | balldeaths/m | steals/m | turnovers/m | steals-turnovers/m | saves/m | spawns/m | ballcarries/m
------------------- | ----- | ------ | -------- | --- | --- | ----- | ------- | -------------------- | ----------------- | ----------------- | -------- | ------- | ------- | --------- | --------------- | ------- | ----------- | ----------------- | -------- | -------------- | ----------- | ------------ | -------- | ----------- | ------------------ | ------- | -------- | -------------
a mirror            |    86 | 19.518 | 1171.083 |  55 |  31 | 1.774 |   26.7% |                29.1% |             24.4% |             12.8% |    6.979 |   7.503 |   0.111 |      0.08 |           0.191 |     1.4 |       0.092 |              6.6% |    1.401 |         -0.002 |       0.219 |         0.14 |    0.344 |       0.293 |              0.051 |   0.077 |    0.083 |          1.54
afri                |   203 | 42.322 |  2539.35 | 132 |  71 | 1.859 |   35.5% |                52.2% |             34.0% |             52.7% |      7.9 |   8.528 |   0.151 |     0.126 |           0.277 |   1.239 |       0.052 |              4.2% |    1.511 |         -0.272 |       0.192 |        0.151 |    0.352 |       0.297 |              0.055 |    0.06 |    0.156 |         1.986
ccruler             |   250 | 58.516 | 3510.933 | 119 | 131 | 0.908 |    2.8% |                 4.4% |              2.0% |              6.4% |    5.141 |   5.587 |   0.053 |     0.075 |           0.128 |   1.077 |       0.028 |              2.6% |    1.292 |         -0.215 |       0.117 |        0.176 |    0.224 |       0.226 |             -0.002 |   0.082 |    0.083 |         1.225
cyclone             |    59 | 10.605 |  636.317 |  18 |  41 | 0.439 |    0.0% |                 0.0% |              0.0% |              0.0% |    2.631 |   2.793 |   0.044 |     0.046 |            0.09 |   0.591 |       0.053 |              9.0% |    0.772 |         -0.181 |       0.055 |        0.116 |    0.104 |       0.146 |             -0.042 |   0.014 |    0.068 |         0.728
furzkanon           |   192 | 42.062 |   2523.7 | 107 |  85 | 1.259 |   17.2% |                10.4% |             13.0% |             19.3% |    6.684 |   7.093 |   0.115 |      0.08 |           0.195 |   1.052 |       0.038 |              3.7% |    1.156 |         -0.104 |       0.167 |        0.188 |    0.303 |       0.274 |              0.029 |   0.081 |    0.065 |         1.533
gigamonster         |   112 |  26.63 | 1597.783 |  52 |  60 | 0.867 |   21.4% |                 7.1% |              8.0% |             23.2% |    7.085 |   7.626 |   0.061 |     0.104 |           0.165 |   1.302 |       0.067 |              5.1% |    1.064 |          0.238 |       0.149 |        0.106 |    0.295 |       0.183 |              0.112 |    0.05 |    0.093 |         1.572
legacy              |   106 | 24.847 |   1490.8 |  56 |  50 |  1.12 |   12.3% |                22.6% |             21.7% |             17.9% |    6.158 |   6.795 |   0.106 |     0.085 |           0.191 |   1.432 |       0.138 |              9.6% |    1.529 |         -0.097 |        0.17 |        0.205 |    0.309 |       0.349 |             -0.041 |   0.028 |    0.069 |          1.56
lemonaire           |    79 | 15.977 |    958.6 |  38 |  41 | 0.927 |   21.5% |                17.7% |             17.7% |             11.4% |    7.148 |   7.761 |   0.096 |      0.08 |           0.176 |   1.688 |       0.099 |              5.9% |    1.109 |          0.579 |       0.151 |        0.123 |    0.236 |       0.213 |              0.023 |   0.027 |      0.1 |         1.515
mercury             |   255 | 55.761 |  3345.65 | 123 | 132 | 0.932 |   21.2% |                31.8% |             42.4% |             20.8% |    6.958 |   7.255 |   0.076 |      0.12 |           0.195 |   1.255 |       0.081 |              6.5% |    1.397 |         -0.142 |       0.189 |        0.176 |    0.438 |       0.345 |              0.093 |   0.008 |    0.079 |         1.744
nabber              |   248 | 52.169 | 3130.167 |  94 | 154 |  0.61 |    1.2% |                 0.4% |              0.0% |              2.0% |    4.913 |    5.08 |   0.037 |     0.072 |           0.108 |   1.212 |       0.071 |              5.9% |    1.374 |         -0.162 |       0.159 |        0.094 |    0.263 |       0.232 |              0.031 |    0.04 |    0.075 |         1.193
nemesis             |   178 | 42.636 | 2558.183 |  82 |  96 | 0.854 |    1.7% |                 7.9% |              0.0% |              1.1% |    5.002 |   5.338 |   0.053 |     0.079 |           0.132 |   1.256 |       0.105 |              8.3% |    1.301 |         -0.045 |       0.144 |        0.129 |    0.228 |       0.265 |             -0.036 |   0.034 |    0.124 |         1.313
no one can kill me  |   369 | 79.603 |   4776.2 | 236 | 133 | 1.774 |   15.7% |                19.0% |              7.9% |              6.5% |    6.556 |   7.196 |   0.171 |      0.08 |            0.25 |   0.989 |       0.072 |              7.3% |    1.178 |         -0.189 |       0.169 |        0.225 |    0.219 |       0.328 |             -0.109 |   0.157 |    0.085 |         1.691
pallone1            |   167 | 40.908 | 2454.483 |  92 |  75 | 1.227 |   19.8% |                20.4% |             15.0% |             25.7% |    6.544 |    7.25 |   0.077 |     0.105 |           0.182 |    1.37 |       0.042 |              3.1% |     1.53 |          -0.16 |       0.177 |        0.185 |    0.357 |       0.328 |              0.029 |   0.027 |    0.099 |         1.581
peabrain            |   189 | 42.265 | 2535.917 |  93 |  96 | 0.969 |    3.7% |                 2.1% |              0.0% |              0.0% |    5.469 |   5.744 |   0.069 |     0.082 |           0.151 |   1.368 |       0.099 |              7.3% |    1.285 |          0.083 |       0.168 |        0.127 |     0.25 |       0.205 |              0.045 |    0.04 |     0.04 |         1.181
sawhetowl           |   111 | 24.156 |  1449.35 |  46 |  65 | 0.708 |    1.8% |                 0.0% |              0.0% |              0.0% |    4.414 |   4.632 |   0.032 |      0.06 |           0.092 |   1.375 |       0.102 |              7.4% |    1.135 |           0.24 |        0.13 |        0.097 |    0.183 |       0.187 |             -0.004 |   0.022 |    0.061 |         0.994
shaun               |   190 | 36.909 | 2214.567 |  74 | 116 | 0.638 |    8.4% |                14.2% |             11.1% |             18.4% |    5.812 |    5.78 |    0.08 |      0.13 |            0.21 |   0.778 |       0.034 |              4.4% |     1.11 |         -0.332 |       0.103 |        0.176 |    0.234 |       0.281 |             -0.047 |   0.049 |    0.178 |         1.576
shikaa              |    99 | 21.282 |   1276.9 |  58 |  41 | 1.415 |   37.4% |                44.4% |             36.4% |             45.5% |    7.484 |    8.39 |   0.132 |     0.106 |           0.237 |   1.311 |       0.042 |              3.2% |    1.509 |         -0.198 |       0.195 |        0.221 |    0.392 |       0.371 |              0.021 |   0.057 |    0.122 |         1.906
thc                 |    64 | 12.974 |  778.417 |  24 |  40 |   0.6 |    1.6% |                 1.6% |              3.1% |              4.7% |    4.993 |   5.248 |   0.036 |     0.071 |           0.107 |    1.05 |       0.058 |              5.5% |    1.208 |         -0.158 |       0.132 |        0.139 |    0.218 |       0.222 |             -0.004 |   0.042 |    0.068 |         1.159
the seven year itch |   140 | 29.791 | 1787.433 |  81 |  59 | 1.373 |   28.6% |                27.9% |             35.7% |             20.0% |    7.341 |   8.094 |   0.136 |     0.099 |           0.235 |   1.426 |       0.103 |              7.2% |    1.352 |          0.074 |       0.209 |        0.162 |    0.342 |       0.335 |              0.007 |    0.05 |    0.091 |         1.723
tom petty           |    66 | 17.827 | 1069.617 |  40 |  26 | 1.538 |   21.2% |                19.7% |             18.2% |             15.2% |    6.752 |    7.28 |   0.078 |     0.093 |           0.171 |   1.401 |       0.097 |              6.9% |    1.142 |          0.259 |       0.213 |        0.158 |     0.27 |       0.309 |             -0.038 |   0.097 |    0.057 |         1.487
zwix                |    67 | 16.054 |  963.217 |  20 |  47 | 0.426 |    3.0% |                 4.5% |              7.5% |              6.0% |    4.874 |   4.978 |   0.037 |     0.073 |            0.11 |   1.013 |       0.056 |              5.5% |    0.958 |          0.055 |       0.117 |        0.165 |    0.198 |       0.311 |             -0.113 |   0.044 |    0.054 |         1.245
